Optical constants of bloedite (Na_2 Mg(SO_4)_2 . 4 H_2 O); T = 120 K; averaged. Ref: Dalton; J. B.; and K. M. Pitman (2012); Low temperature optical constants of some hydrated sulfates relevant to planetary surfaces; J. Geophys. Res.
Wavelength (microns), n(lambda), k(lambda), n upper, k upper, n lower, k lower bound
3.500000E-01,1.485016E+00,3.525589E-06,1.485011E+00,1.916954E-06,1.485024E+00,4.962837E-06
3.510000E-01,1.485016E+00,3.536728E-06,1.485011E+00,1.922697E-06,1.485024E+00,4.977815E-06
3.520000E-01,1.485016E+00,3.402785E-06,1.485011E+00,1.851807E-06,1.485024E+00,4.785769E-06
3.530000E-01,1.485016E+00,3.404412E-06,1.485011E+00,1.852411E-06,1.485024E+00,4.786704E-06
3.540000E-01,1.485016E+00,3.411266E-06,1.485011E+00,1.856111E-06,1.485024E+00,4.795559E-06
3.550000E-01,1.485016E+00,3.383248E-06,1.485011E+00,1.841750E-06,1.485024E+00,4.755959E-06
3.560000E-01,1.485016E+00,3.414791E-06,1.485011E+00,1.858549E-06,1.485024E+00,4.800422E-06
3.570000E-01,1.485016E+00,3.426340E-06,1.485011E+00,1.865016E-06,1.485024E+00,4.816608E-06
3.580000E-01,1.485016E+00,3.380913E-06,1.485011E+00,1.841145E-06,1.485024E+00,4.751439E-06
3.590000E-01,1.485016E+00,3.311149E-06,1.485011E+00,1.804183E-06,1.485024E+00,4.651310E-06
3.600000E-01,1.485016E+00,3.340695E-06,1.485011E+00,1.819867E-06,1.485024E+00,4.691830E-06
3.610000E-01,1.485016E+00,3.341723E-06,1.485011E+00,1.820505E-06,1.485024E+00,4.692775E-06
3.620000E-01,1.485016E+00,3.317956E-06,1.485011E+00,1.808355E-06,1.485024E+00,4.658738E-06
3.630000E-01,1.485016E+00,3.298748E-06,1.485010E+00,1.798888E-06,1.485024E+00,4.631529E-06
3.640000E-01,1.485016E+00,3.300995E-06,1.485010E+00,1.800008E-06,1.485024E+00,4.632611E-06
3.650000E-01,1.485016E+00,3.275866E-06,1.485010E+00,1.786821E-06,1.485024E+00,4.595699E-06
3.660000E-01,1.485016E+00,3.255471E-06,1.485010E+00,1.776304E-06,1.485024E+00,4.566768E-06
3.670000E-01,1.485016E+00,3.274082E-06,1.485010E+00,1.786382E-06,1.485024E+00,4.592686E-06
3.680000E-01,1.485016E+00,3.247084E-06,1.485010E+00,1.772750E-06,1.485023E+00,4.554234E-06
3.690000E-01,1.485016E+00,3.225689E-06,1.485010E+00,1.761491E-06,1.485023E+00,4.523021E-06
3.700000E-01,1.485016E+00,3.211500E-06,1.485010E+00,1.753969E-06,1.485023E+00,4.501537E-06
3.710000E-01,1.485016E+00,3.185406E-06,1.485010E+00,1.739984E-06,1.485023E+00,4.462599E-06
3.720000E-01,1.485015E+00,3.193348E-06,1.485010E+00,1.744807E-06,1.485023E+00,4.474407E-06
3.730000E-01,1.485015E+00,3.187909E-06,1.485010E+00,1.742268E-06,1.485023E+00,4.466682E-06
3.740000E-01,1.485015E+00,3.166745E-06,1.485010E+00,1.730745E-06,1.485023E+00,4.435462E-06
3.750000E-01,1.485015E+00,3.174864E-06,1.485010E+00,1.734705E-06,1.485023E+00,4.445374E-06
3.760000E-01,1.485015E+00,3.166183E-06,1.485010E+00,1.730281E-06,1.485023E+00,4.433375E-06
3.770000E-01,1.485015E+00,3.151252E-06,1.485010E+00,1.722366E-06,1.485023E+00,4.412050E-06
3.780000E-01,1.485015E+00,3.140837E-06,1.485010E+00,1.716122E-06,1.485023E+00,4.395513E-06
3.790000E-01,1.485015E+00,3.130471E-06,1.485010E+00,1.710309E-06,1.485023E+00,4.380629E-06
3.800000E-01,1.485015E+00,3.128911E-06,1.485010E+00,1.709346E-06,1.485023E+00,4.378331E-06
3.810000E-01,1.485015E+00,3.113938E-06,1.485010E+00,1.701299E-06,1.485023E+00,4.356668E-06
3.820000E-01,1.485015E+00,3.079458E-06,1.485010E+00,1.682499E-06,1.485022E+00,4.306825E-06
3.830000E-01,1.485015E+00,3.080288E-06,1.485010E+00,1.683088E-06,1.485022E+00,4.308144E-06
3.840000E-01,1.485015E+00,3.080033E-06,1.485010E+00,1.682754E-06,1.485022E+00,4.307416E-06
3.850000E-01,1.485015E+00,3.074842E-06,1.485010E+00,1.679623E-06,1.485022E+00,4.298591E-06
3.860000E-01,1.485015E+00,3.071289E-06,1.485010E+00,1.677901E-06,1.485022E+00,4.294187E-06
3.870000E-01,1.485015E+00,3.057687E-06,1.485010E+00,1.670784E-06,1.485022E+00,4.273511E-06
3.880000E-01,1.485015E+00,3.051352E-06,1.485010E+00,1.667620E-06,1.485022E+00,4.263858E-06
3.890000E-01,1.485015E+00,3.049431E-06,1.485010E+00,1.666727E-06,1.485022E+00,4.260653E-06
3.900000E-01,1.485015E+00,3.035978E-06,1.485010E+00,1.659782E-06,1.485022E+00,4.240768E-06
3.910000E-01,1.485015E+00,3.026533E-06,1.485010E+00,1.654708E-06,1.485022E+00,4.226067E-06
3.920000E-01,1.485014E+00,3.026585E-06,1.485010E+00,1.654451E-06,1.485022E+00,4.224428E-06
3.930000E-01,1.485014E+00,3.031816E-06,1.485009E+00,1.657561E-06,1.485022E+00,4.231596E-06
