Optical constants of epsomite (Mg SO_4 . 7 H_2 O); T = 120 K; averaged. Ref: Dalton; J. B.; and K. M. Pitman (2012); Low temperature optical constants of some hydrated sulfates relevant to planetary surfaces; J. Geophys. Res.
Wavelength (microns), n(lambda), k(lambda), n upper, k upper, n lower, k lower bound 
3.510000E-01,1.450013E+00,1.454035E-07,1.450019E+00,2.180905E-07,1.450010E+00,1.090434E-07
3.540000E-01,1.450013E+00,1.501052E-07,1.450019E+00,2.251932E-07,1.450009E+00,1.126283E-07
3.570000E-01,1.450012E+00,1.542220E-07,1.450019E+00,2.313687E-07,1.450009E+00,1.156994E-07
3.600000E-01,1.450012E+00,1.579768E-07,1.450019E+00,2.369330E-07,1.450009E+00,1.184987E-07
3.630000E-01,1.450012E+00,1.607740E-07,1.450018E+00,2.411113E-07,1.450009E+00,1.205882E-07
3.660000E-01,1.450012E+00,1.629360E-07,1.450018E+00,2.443539E-07,1.450009E+00,1.221750E-07
3.690000E-01,1.450012E+00,1.645866E-07,1.450018E+00,2.468118E-07,1.450009E+00,1.234214E-07
3.720000E-01,1.450012E+00,1.656424E-07,1.450018E+00,2.484303E-07,1.450009E+00,1.242484E-07
3.750000E-01,1.450012E+00,1.661956E-07,1.450018E+00,2.492954E-07,1.450009E+00,1.246635E-07
3.780000E-01,1.450012E+00,1.662522E-07,1.450017E+00,2.493534E-07,1.450009E+00,1.246747E-07
3.810000E-01,1.450011E+00,1.658910E-07,1.450017E+00,2.488747E-07,1.450009E+00,1.244353E-07
3.840000E-01,1.450011E+00,1.652301E-07,1.450017E+00,2.479201E-07,1.450009E+00,1.239580E-07
3.870000E-01,1.450011E+00,1.643550E-07,1.450017E+00,2.464795E-07,1.450009E+00,1.232377E-07
3.900000E-01,1.450011E+00,1.627804E-07,1.450017E+00,2.441726E-07,1.450008E+00,1.221212E-07
3.930000E-01,1.450011E+00,1.585895E-07,1.450016E+00,2.379236E-07,1.450008E+00,1.189224E-07
3.960000E-01,1.450011E+00,1.564567E-07,1.450016E+00,2.347060E-07,1.450008E+00,1.173133E-07
3.990000E-01,1.450011E+00,1.527215E-07,1.450016E+00,2.291033E-07,1.450008E+00,1.145306E-07
