Optical constants of hexahydrite (Mg SO_4 . 6 H_2 O); T = 120 K; averaged. Ref: Dalton; J. B.; and K. M. Pitman (2012); Low temperature optical constants of some hydrated sulfates relevant to planetary surfaces; J. Geophys. Res.
Wavelength (microns), n(lambda), k(lambda), n upper, k upper, n lower, k lower bound
3.500000E-01,1.445009E+00,6.015509E-07,1.445013E+00,9.286402E-07,1.445007E+00,4.535033E-07
3.510000E-01,1.445009E+00,6.044142E-07,1.445013E+00,9.338864E-07,1.445007E+00,4.554942E-07
3.520000E-01,1.445009E+00,5.968025E-07,1.445013E+00,9.217539E-07,1.445007E+00,4.497582E-07
3.530000E-01,1.445009E+00,5.993716E-07,1.445013E+00,9.264766E-07,1.445007E+00,4.515953E-07
3.540000E-01,1.445009E+00,6.017642E-07,1.445013E+00,9.304594E-07,1.445007E+00,4.531495E-07
3.550000E-01,1.445009E+00,5.995556E-07,1.445013E+00,9.277312E-07,1.445007E+00,4.512960E-07
3.560000E-01,1.445009E+00,6.007438E-07,1.445013E+00,9.302489E-07,1.445007E+00,4.517623E-07
3.570000E-01,1.445009E+00,6.001413E-07,1.445013E+00,9.300304E-07,1.445007E+00,4.510463E-07
3.580000E-01,1.445009E+00,5.984963E-07,1.445013E+00,9.270506E-07,1.445007E+00,4.499684E-07
3.590000E-01,1.445009E+00,5.963878E-07,1.445013E+00,9.234762E-07,1.445007E+00,4.484923E-07
3.600000E-01,1.445009E+00,5.995670E-07,1.445012E+00,9.283690E-07,1.445007E+00,4.509947E-07
3.610000E-01,1.445009E+00,6.015723E-07,1.445012E+00,9.313392E-07,1.445007E+00,4.523649E-07
3.620000E-01,1.445009E+00,6.012452E-07,1.445012E+00,9.309811E-07,1.445007E+00,4.521909E-07
3.630000E-01,1.445009E+00,5.999088E-07,1.445012E+00,9.286960E-07,1.445007E+00,4.512090E-07
3.640000E-01,1.445009E+00,6.014652E-07,1.445012E+00,9.315726E-07,1.445007E+00,4.522955E-07
3.650000E-01,1.445008E+00,6.010673E-07,1.445012E+00,9.310943E-07,1.445007E+00,4.518857E-07
3.660000E-01,1.445008E+00,5.997917E-07,1.445012E+00,9.294214E-07,1.445007E+00,4.509655E-07
3.670000E-01,1.445008E+00,6.012224E-07,1.445012E+00,9.311784E-07,1.445007E+00,4.521201E-07
3.680000E-01,1.445008E+00,6.032612E-07,1.445012E+00,9.342559E-07,1.445006E+00,4.536042E-07
3.690000E-01,1.445008E+00,6.036025E-07,1.445012E+00,9.346038E-07,1.445006E+00,4.540289E-07
3.700000E-01,1.445008E+00,6.031792E-07,1.445012E+00,9.334806E-07,1.445006E+00,4.539021E-07
3.710000E-01,1.445008E+00,6.043088E-07,1.445012E+00,9.351156E-07,1.445006E+00,4.547690E-07
3.720000E-01,1.445008E+00,6.062808E-07,1.445012E+00,9.381559E-07,1.445006E+00,4.564615E-07
3.730000E-01,1.445008E+00,6.073635E-07,1.445012E+00,9.394232E-07,1.445006E+00,4.572478E-07
3.740000E-01,1.445008E+00,6.077856E-07,1.445012E+00,9.399017E-07,1.445006E+00,4.576577E-07
3.750000E-01,1.445008E+00,6.094805E-07,1.445012E+00,9.423066E-07,1.445006E+00,4.590088E-07
3.760000E-01,1.445008E+00,6.098169E-07,1.445012E+00,9.426565E-07,1.445006E+00,4.594567E-07
3.770000E-01,1.445008E+00,6.109311E-07,1.445012E+00,9.440479E-07,1.445006E+00,4.604214E-07
3.780000E-01,1.445008E+00,6.132237E-07,1.445012E+00,9.475650E-07,1.445006E+00,4.622341E-07
3.790000E-01,1.445008E+00,6.134071E-07,1.445012E+00,9.475541E-07,1.445006E+00,4.625483E-07
3.800000E-01,1.445008E+00,6.145899E-07,1.445012E+00,9.491321E-07,1.445006E+00,4.635314E-07
3.810000E-01,1.445008E+00,6.160937E-07,1.445012E+00,9.510645E-07,1.445006E+00,4.646920E-07
3.820000E-01,1.445008E+00,6.161007E-07,1.445012E+00,9.512987E-07,1.445006E+00,4.647727E-07
3.830000E-01,1.445008E+00,6.156096E-07,1.445012E+00,9.503403E-07,1.445006E+00,4.644664E-07
3.840000E-01,1.445008E+00,6.157269E-07,1.445012E+00,9.503844E-07,1.445006E+00,4.645715E-07
3.850000E-01,1.445008E+00,6.167939E-07,1.445011E+00,9.522503E-07,1.445006E+00,4.653547E-07
3.860000E-01,1.445008E+00,6.184632E-07,1.445011E+00,9.548455E-07,1.445006E+00,4.665391E-07
3.870000E-01,1.445008E+00,6.174164E-07,1.445011E+00,9.531469E-07,1.445006E+00,4.658515E-07
3.880000E-01,1.445008E+00,6.172543E-07,1.445011E+00,9.527846E-07,1.445006E+00,4.656564E-07
3.890000E-01,1.445008E+00,6.188553E-07,1.445011E+00,9.555824E-07,1.445006E+00,4.668207E-07
3.900000E-01,1.445008E+00,6.207536E-07,1.445011E+00,9.586980E-07,1.445006E+00,4.681616E-07
