phase theta,reflectance
50.3183,5.59586e-07
49.8821,5.22702e-07
66.277,6.2198e-07
65.8986,5.01691e-07
65.8403,5.99031e-07
65.6889,6.83439e-07
65.2413,7.35916e-07
65.2378,7.22644e-07
64.8744,5.99124e-07
64.8377,5.98488e-07
63.0013,7.00447e-07
62.9776,6.65291e-07
62.6468,5.62193e-07
114.773,2.28625e-06
113.939,2.05994e-06
113.448,2.0041e-06
113.025,2.73569e-06
112.675,1.95921e-06
117.791,2.52059e-06
116.843,2.58466e-06
117.408,2.31995e-06
79.5205,8.82549e-07
78.8691,9.65541e-07
77.9684,8.92717e-07
77.7854,8.67968e-07
77.4997,7.64127e-07
77.0665,8.69882e-07
137.389,6.28685e-06
137.128,5.88756e-06
136.624,6.43364e-06
147.679,7.28793e-06
147.112,6.62499e-06
142.355,5.61397e-06
140.989,5.07548e-06
106.716,1.77416e-06
105.629,1.77054e-06
109.235,1.97014e-06
106.977,1.79863e-06
135.104,3.94681e-06
134.109,4.13189e-06
152.634,1.09322e-05
42.7137,5.60668e-07
43.0761,6.30112e-07
43.3837,6.4307e-07
40.0136,7.57241e-07
15.8409,5.13373e-07
16.2401,5.07562e-07
12.7703,5.10405e-07
107.082,7.35739e-07
108.749,2.34937e-06
109.389,1.01425e-06
105.761,2.04016e-06
106.181,8.29335e-07
108.409,2.37584e-06
108.55,8.67423e-07
132.892,2.57202e-06
133.431,1.01145e-05
133.992,8.99122e-06
87.5322,5.61073e-07
88.2596,5.77748e-07
105.731,8.29984e-07
106.948,2.12073e-06
85.9133,1.23374e-06
99.6274,1.34284e-06
78.5454,1.02526e-06
79.0054,9.10354e-07
81.2568,6.67664e-07
81.9154,5.59402e-07
99.2616,1.87467e-06
100.553,6.75233e-07
126.989,1.46584e-06
129.456,1.14795e-05
48.2369,9.01299e-07
18.7999,6.48535e-07
20.1793,6.99913e-07
79.4916,1.0069e-06
80.629,8.10877e-07
80.8361,9.13425e-07
81.0457,1.05497e-06
81.2576,6.98577e-07
81.472,1.05862e-06
82.0894,1.00416e-06
62.4487,8.50718e-07
62.5126,6.88448e-07
22.5668,6.11723e-07
22.313,5.2637e-07
145.707,1.13638e-05
145.648,1.16711e-05
145.589,1.21524e-05
145.53,1.26067e-05
145.471,1.22167e-05
145.353,1.10543e-05
145.294,1.08336e-05
145.235,1.08642e-05
145.177,1.13965e-05
145.118,1.19877e-05
145.059,1.19786e-05
145.001,1.19201e-05
