theta Range (deg),Ave. scat. theta (deg),N,Contrast 10^-6,Error^a 10^-6,Scatter^b 10^-6,Norm. Error^c 10^-6
0.60 0.90,0.8,1,2046.485,46.831,,1023.243
0.90 1.10,1.0,1,1265.638,35.206,,632.819
1.10 1.30,1.2,3,840.77,9.916,,242.709
1.30 1.50,1.4,1,614.805,5.447,,307.403
1.50 1.70,1.6,3,534.56,1.879,,154.314
1.70 1.90,1.8,3,402.54,1.536,,116.203
1.90 2.10,2.0,5,341.047,1.38,126.893,76.26
2.10 2.30,2.2,5,247.076,1.558,60.313,55.248
2.30 2.50,2.4,6,190.889,1.133,36.065,38.965
2.50 2.90,2.68,8,137.794,0.717,23.698,24.359
2.90 3.50,3.2,9,73.509,0.342,20.43,12.251
3.50 3.90,3.65,4,41.069,0.473,14.701,10.267
3.90 4.50,4.18,8,26.37,0.332,7.59,4.662
4.50 4.90,4.72,5,19.201,0.27,6.476,4.293
4.90 5.90,5.48,8,14.154,0.143,4.346,2.502
5.90 7.00,6.37,6,11.195,0.112,1.922,2.285
7.00 8.00,7.5,6,9.504,0.111,1.328,1.94
8.00 10.00,8.7,4,7.608,0.154,0.981,1.902
10.00 14.00,12.0,3,4.952,0.072,0.0,1.429
17.50 18.50,18.12,15,2.789,0.017,0.064,0.36
18.50 19.50,18.92,18,2.696,0.014,0.123,0.318
19.50 20.50,19.95,16,2.484,0.015,0.084,0.31
45.00 54.00,50.86,9,0.721,0.008,0.035,0.12
54.00 65.00,56.46,22,0.551,0.002,0.033,0.059
70.00 90.00,80.41,4,0.447,0.032,0.024,0.112
90.00 110.00,99.09,1,0.371,0.017,,0.185
110.00 130.00,121.59,26,0.371,0.003,0.057,0.036
130.00 150.00,136.47,9,0.271,0.001,0.03,0.045
150.00 165.00,159.02,10,0.286,0.008,0.046,0.045
165.00 180.00,166.09,5,0.311,0.003,0.016,0.07
